Customer_ID,Age,Credit_History_Age,Annual_Income,Delay_from_due_date,Interest_Rate,Num_Bank_Accounts,Num_Credit_Card,Num_of_Delayed_Payment,Outstanding_Debt,Changed_Credit_Limit,Monthly_Inhand_Salary,Credit_Mix,Occupation,Last_Loan_1,Last_Loan_2,Last_Loan_3,Last_Loan_4,Last_Loan_5,Payment_of_Min_Amount,Num_Credit_Inquiries
CUS_myvq,29,24,45000,3,8,4,3,1,1500,2,3200,Standard,Developer,Yes,No,No,No,Yes,Yes,2
CUS_3y1y,40,96,80000,0,12,3,6,0,2000,10,6500,Bad,Writer,No,No,Yes,Yes,No,No,5
CUS_nr4q,22,6,22000,15,18,2,1,4,500,-3,900,Bad,Accountant,No,No,No,No,Yes,Yes,0
CUS_321i,55,180,120000,0,7,6,8,0,2500,15,11000,Good,Doctor,Yes,Yes,Yes,Yes,No,No,4
CUS_cl8v,35,72,60000,2,5,3,4,2,1800,8,5000,Good,Mechanic,No,No,No,Yes,No,Yes,3
CUS_64c0,32,48,50000,2,10,4,5,1,1800,5,3500,Good,Engineer,No,Yes,No,No,Yes,No,3
CUS_3zme,27,12,30000,5,15,3,2,3,1000,0,2300,Bad,Accountant,No,No,No,Yes,Yes,Yes,1
CUS_w3ws,45,120,90000,1,8,5,7,1,2200,12,7500,Standard,Architect,Yes,No,Yes,Yes,No,Yes,4
CUS_9s7w,50,144,110000,0,6,6,6,0,2500,14,9000,Good,Lawyer,Yes,Yes,No,No,Yes,No,5
CUS_uije,21,6,25000,12,20,2,2,5,800,-1,1200,Bad,Teacher,No,No,No,No,Yes,Yes,0
CUS_cmy7,33,36,48000,4,9,3,4,2,1700,6,3400,Standard,Journalist,No,Yes,No,No,No,No,2
CUS_9h9g,38,72,70000,1,7,3,5,1,2000,8,5800,Good,Developer,No,No,Yes,Yes,No,Yes,3
CUS_9re9,26,18,31000,10,18,4,3,3,1300,3,2500,Bad,Musician,No,No,No,Yes,No,No,1
CUS_k4ht,41,132,85000,0,5,6,5,0,2600,11,7000,Good,Manager,Yes,No,No,Yes,No,Yes,5
CUS_wkfo,55,180,125000,0,7,6,8,0,2800,15,11500,Good,Doctor,Yes,Yes,Yes,Yes,No,No,4
CUS_b22k,29,24,45000,3,8,4,3,1,1500,2,3200,Standard,Developer,Yes,No,No,No,Yes,Yes,2
CUS_x4tm,44,84,95000,2,9,5,6,1,2300,10,6800,Good,Engineer,No,Yes,No,No,Yes,No,3
CUS_nfvv,22,6,22000,15,18,2,1,4,500,-3,900,Bad,Accountant,No,No,No,No,Yes,Yes,0
CUS_hz0y,40,96,80000,0,12,3,6,0,2000,10,6500,Bad,Writer,No,No,Yes,Yes,No,No,5
CUS_ryp8,30,60,55000,2,10,4,5,2,1900,7,3600,Standard,Teacher,No,Yes,Yes,No,Yes,Yes,2
CUS_cmj7,24,12,27000,11,19,3,3,3,1200,0,2000,Bad,Media_Manager,No,No,No,No,No,No,1
CUS_ypwp,48,144,100000,0,6,6,7,0,2500,13,8500,Good,Lawyer,Yes,No,No,Yes,No,Yes,4
CUS_dbcx,35,72,60000,2,5,3,4,2,1800,8,5000,Good,Mechanic,No,No,No,Yes,No,Yes,3
CUS_yixh,37,96,75000,1,8,4,6,1,2100,9,6100,Standard,Developer,Yes,No,Yes,No,No,No,2
CUS_59ba,31,36,47000,3,11,3,4,1,1600,6,3300,Standard,Architect,No,No,No,Yes,No,Yes,2
CUS_ylut,28,24,44000,6,14,2,3,2,1400,4,3100,Bad,Journalist,No,Yes,No,No,Yes,No,1
CUS_rw38,46,120,92000,0,7,5,6,0,2400,12,6900,Good,Scientist,Yes,No,Yes,Yes,No,Yes,3
CUS_5yt5,23,6,25000,14,21,2,2,4,700,-2,1100,Bad,Accountant,No,No,No,No,Yes,No,0
CUS_ga21,49,144,95000,0,6,6,7,0,2700,13,8800,Good,Doctor,Yes,Yes,Yes,No,Yes,Yes,4
CUS_isd2,36,84,63000,1,8,4,5,1,1900,8,5200,Standard,Teacher,No,Yes,No,Yes,No,Yes,3
CUS_rmus,19,3,20000,16,22,1,1,5,400,-4,800,Bad,Mechanic,No,No,No,No,Yes,Yes,0
CUS_6ry5,39,96,72000,2,9,4,5,2,1800,9,5500,Standard,Engineer,No,No,No,Yes,No,No,2
CUS_c753,51,132,89000,1,8,5,6,1,2300,10,6700,Good,Entrepreneur,Yes,No,No,No,No,Yes,4
CUS_ib96,42,108,86000,0,7,5,5,0,2200,11,6400,Good,Manager,No,Yes,Yes,Yes,Yes,Yes,2
